REGION,DISTRICT,CHIEFDOM,POPULATION
EASTERN ,KAILAHUN ,Dea,13417
EASTERN ,KAILAHUN ,Jahn,10260
EASTERN ,KAILAHUN ,Jawie,50954
EASTERN ,KAILAHUN ,Kissi Kama,20424
EASTERN ,KAILAHUN ,Kissi Teng,45152
EASTERN ,KAILAHUN ,Kissi Tongi,50953
EASTERN ,KAILAHUN ,Kpeje Bongre,25172
EASTERN ,KAILAHUN ,Kpeje West,27547
EASTERN ,KAILAHUN ,Luawa,81047
EASTERN ,KAILAHUN ,Malema,37098
EASTERN ,KAILAHUN ,Mandu,30987
EASTERN ,KAILAHUN ,Njaluahun,50962
EASTERN ,KAILAHUN ,Penguia,26275
EASTERN ,KAILAHUN ,Upper Bambara,26851
EASTERN ,KAILAHUN ,Yawei,29325
EASTERN ,KENEMA,Dama,30754
EASTERN ,KENEMA,Dodo,22861
EASTERN ,KENEMA,Gaura,18220
EASTERN ,KENEMA,Gorama Mende,43362
EASTERN ,KENEMA,Kandu Leppiama,18232
EASTERN ,KENEMA,Koya,13485
EASTERN ,KENEMA,Langrama,3587
EASTERN ,KENEMA,Lower Bambara,76284
EASTERN ,KENEMA,Malegohun,20547
EASTERN ,KENEMA,Niawa,7818
EASTERN ,KENEMA,Nomo,5494
EASTERN ,KENEMA,Nongowa,45565
EASTERN ,KENEMA,Simbaru,17400
EASTERN ,KENEMA,Small Bo,29501
EASTERN ,KENEMA,Tunkia,36057
EASTERN ,KENEMA,Wandor,20329
EASTERN ,KENEMA,Kenema City,200446
EASTERN ,KONO,Fiama,15458
EASTERN ,KONO,Gbane,24407
EASTERN ,KONO,Gbane Kandor,11906
EASTERN ,KONO,Gbense,15867
EASTERN ,KONO,Gorama Kono,18297
EASTERN ,KONO,Kamara,19415
EASTERN ,KONO,Lei,26969
EASTERN ,KONO,Mafindor,13706
EASTERN ,KONO,Nimikoro,61228
EASTERN ,KONO,Nimiyama,28171
EASTERN ,KONO,Sandor,89882
EASTERN ,KONO,Soa,39253
EASTERN ,KONO,Tankoro,8504
EASTERN ,KONO,Toli,5049
EASTERN ,KONO,Koidu town,128033
NORTHERN ,BOMBALI,Biriwa,47308
NORTHERN ,BOMBALI,Bombali Sebora,28982
NORTHERN ,BOMBALI,Bombali Siari,7437
NORTHERN ,BOMBALI,Gbanti,42133
NORTHERN ,BOMBALI,Gbendembu Ngowa,18455
NORTHERN ,BOMBALI,Gbanti Kamarank,11855
NORTHERN ,BOMBALI,Magbaimba Ndorh,12691
NORTHERN ,BOMBALI,Makari,39218
NORTHERN ,BOMBALI,Mara,17454
NORTHERN ,BOMBALI,N'gowahun,20351
NORTHERN ,BOMBALI,Paki Masabong,19883
NORTHERN ,BOMBALI,Safroko Limba,31259
NORTHERN ,BOMBALI,Makeni town,125973
NORTHERN ,FALABA,Delemandugu,21016
NORTHERN ,FALABA,Dembelia - sink,10231
NORTHERN ,FALABA,folosaba Dembel,21452
NORTHERN ,FALABA,Folosaba,10694
NORTHERN ,FALABA,Kamadu Yiraia,13233
NORTHERN ,FALABA,Kebelia,8975
NORTHERN ,FALABA,Kulor Saradu,12378
NORTHERN ,FALABA,Mongo,15524
NORTHERN ,FALABA,Morifindugu,11305
NORTHERN ,FALABA,Neya,25242
NORTHERN ,FALABA,Nyedu,5093
NORTHERN ,FALABA,Sulima,26670
NORTHERN ,FALABA,Wollay Barawa,23579
NORTHERN ,KOINADUGU,Diang,29066
NORTHERN ,KOINADUGU,Gbonkobon Kayaka,7731
NORTHERN ,KOINADUGU,Kalian,22270
NORTHERN ,KOINADUGU,Kamukeh,12190
NORTHERN ,KOINADUGU,Kasunko,10827
NORTHERN ,KOINADUGU,Nieni,32359
NORTHERN ,KOINADUGU,Sengbe,24789
NORTHERN ,KOINADUGU,Tasso Island,6247
NORTHERN ,KOINADUGU,Wara Wara Bafod,22422
NORTHERN ,KOINADUGU,Wara Wara Yagal,36148
NORTHERN ,TONKOLILI,Kalansogoia,24457
NORTHERN ,TONKOLILI,Gbonkolenken,17093
NORTHERN ,TONKOLILI,Kafe,8688
NORTHERN ,TONKOLILI,Kalanthuba,11413
NORTHERN ,TONKOLILI,Kholifa Mabang,16669
NORTHERN ,TONKOLILI,Kholifa Mamuntha/ Mayosso,15109
NORTHERN ,TONKOLILI,Kholifa Rowala,51025
NORTHERN ,TONKOLILI,Kunike Barina,25248
NORTHERN ,TONKOLILI,Kunike Folawusu,23547
NORTHERN ,TONKOLILI,Kunike,50874
NORTHERN ,TONKOLILI,Malal mara,13505
NORTHERN ,TONKOLILI,Mayeppoh,18729
NORTHERN ,TONKOLILI,Poli,8153
NORTHERN ,TONKOLILI,Sambaya,31996
NORTHERN ,TONKOLILI,Kafe Simiria,27988
NORTHERN ,TONKOLILI,Tane,33288
NORTHERN ,TONKOLILI,Yele,23742
NORTHERN ,TONKOLILI,Yoni Mabanta,33304
NORTHERN ,TONKOLILI,Yoni,79213
NORTH WESTERN,KAMBIA,Bramaia,23068
NORTH WESTERN,KAMBIA,Dixon,7993
NORTH WESTERN,KAMBIA,Gbinle dixing,15446
NORTH WESTERN,KAMBIA,Khonimaka,13702
NORTH WESTERN,KAMBIA,Magbema,92168
NORTH WESTERN,KAMBIA,Mambolo,37955
NORTH WESTERN,KAMBIA,Masungbala,15682
NORTH WESTERN,KAMBIA,Munu Thalla,16121
NORTH WESTERN,KAMBIA,Samu,64793
NORTH WESTERN,KAMBIA,Tonko Limba,58576
NORTH WESTERN,KARENA,Buya romende,13177
NORTH WESTERN,KARENA,Dibia,15522
NORTH WESTERN,KARENA,Makari Gbanti,16642
NORTH WESTERN,KARENA,Libeisaygahun,11773
NORTH WESTERN,KARENA,Mafonda Makerembay,4432
NORTH WESTERN,KARENA,Romende,21110
NORTH WESTERN,KARENA,Safroko,10983
NORTH WESTERN,KARENA,Sanda Loko,45078
NORTH WESTERN,KARENA,Sanda Magbolont,23734
NORTH WESTERN,KARENA,Sanda Tendaran,26231
NORTH WESTERN,KARENA,Sella Limba,58404
NORTH WESTERN,KARENA,Tambakha Simibungie,14033
NORTH WESTERN,KARENA,Tambakha,24466
NORTH WESTERN,PORT LOKO,Bakeh Loko,7776
NORTH WESTERN,PORT LOKO,Bureh kasseh ma,15669
NORTH WESTERN,PORT LOKO,Kaffu Bullom,120493
NORTH WESTERN,PORT LOKO,Kamasondo,29986
NORTH WESTERN,PORT LOKO,Kasseh,14514
